token,alt_incl_count
you,113484
the,82254
that,64653
be,64307
do,60178
it,59057
a,57374
i,43734
what,42250
go,36810
and,33530
to,26863
oh,25310
want,25163
there,24950
this,24021
in,23292
here,23226
no,22977
yeah,22088
on,21840
have,21217
we,20673
your,20145
can,19753
get,19222
like,18630
see,18228
okay,17686
look,17539
he,17133
one,15302
she,14904
baby,14431
mommy,13625
put,13589
where,13300
up,12634
say,12606
with,12559
of,12546
come,11550
let,11475
good,11064
at,10862
me,10272
for,9899
book,9556
right,9521
think,9315
know,9015
not,8875
play,8752
some,8503
little,8484
so,8321
yes,8066
down,7970
all,7706
more,7418
huh,7190
now,7062
my,7015
just,6958
they,6870
daddy,6854
out,6725
eat,6640
hm,6566
them,6462
ball,6356
her,6252
will,6204
but,5903
back,5876
who,5795
make,5469
how,5357
hi,5285
big,5073
too,5032
over,4861
take,4847
about,4757
dog,4752
give,4453
off,4333
those,4332
sit,4290
two,4287
him,4000
mm,3972
ah,3950
his,3939
toy,3926
if,3878
thing,3838
or,3752
these,3746
car,3735
well,3674
very,3659
read,3591
try,3566
uhoh,3536
open,3490
turn,3397
boy,3334
mhm,3296
mama,3288
duck,3233
foot,3079
then,3055
again,3015
nice,2924
shoe,2893
other,2889
time,2883
yum,2805
else,2786
please,2786
real,2760
juice,2759
need,2746
hand,2725
kitty,2720
home,2713
spoon,2712
because,2682
cookie,2657
when,2639
find,2618
something,2602
another,2599
bear,2589
hey,2487
hello,2438
fun,2426
food,2420
alright,2407
any,2381
peekaboo,2358
box,2353
bird,2353
way,2324
water,2262
why,2223
girl,2219
bottle,2219
stuff,2216
mouth,2210
chair,2202
pig,2184
ready,2165
hold,2152
push,2147
throw,2135
pretty,2112
help,2098
kiss,2089
hat,2075
thank_you,2068
thank,2066
around,2058
three,2040
blue,2001
red,1964
should,1960
eye,1945
honey,1941
doll,1936
nose,1929
away,1924
love,1912
horse,1901
house,1882
fall,1876
tell,1873
laura,1870
cup,1869
uhhuh,1857
bunny,1851
pizza,1848
color,1844
apple,1830
bye,1829
byebye,1827
could,1817
animal,1812
hair,1808
block,1774
cow,1773
maybe,1747
close,1746
name,1740
watch,1721
cheese,1710
talk,1697
shake,1688
today,1666
pea,1663
yay,1648
truck,1633
feel,1623
milk,1608
noise,1607
picture,1604
bite,1600
drink,1597
head,1574
call,1568
sleep,1566
hear,1561
pull,1561
cat,1556
sweetie,1538
green,1530
walk,1511
from,1500
key,1496
pick,1494
show,1486
fish,1473
clean,1469
kind,1468
ooh,1454
door,1441
yellow,1437
whoa,1433
naima,1425
as,1423
light,1419
woof,1389
hot,1384
lot,1381
much,1357
quack,1351
which,1346
stick,1333
piece,1327
moo,1320
bang,1307
touch,1305
frog,1304
remember,1290
pop,1282
tree,1281
page,1270
day,1269
puppy,1258
man,1253
mom,1247
boo,1244
wait,1231
outside,1219
job,1217
got,1216
tickle,1211
jump,1209
orange,1201
move,1198
us,1181
train,1177
interest,1172
n,1169
bubble,1167
wow,1159
boom,1156
phone,1154
stop,1149
fix,1149
oops,1148
tape,1136
still,1133
sound,1131
diaper,1127
under,1126
bring,1124
mean,1122
sure,1122
anything,1121
silly,1120
keep,1117
four,1112
work,1101
leave,1100
flower,1096
use,1091
plate,1089
into,1089
roll,1086
new,1085
bit,1082
person,1072
first,1069
bed,1068
sock,1063
paper,1059
minute,1038
by,1037
night,1033
ride,1026
face,1021
bee,1016
our,1011
egg,999
top,998
wash,997
tooth,996
sheep,994
last,991
brush,974
stay,972
guy,968
meow,965
floor,965
stand,963
chicken,961
hard,960
sing,955
feed,951
break,948
run,948
bread,946
spaghetti,944
dada,940
wear,939
banana,915
might,915
big_bird,913
finger,908
hug,904
toe,902
chew,895
happen,894
probable,893
five,890
oink,888
ring,887
room,881
table,881
mine,875
crayon,873
button,872
dirt,864
different,860
draw,854
monkey,852
together,849
record,849
happy,846
bounce,838
henry,834
behind,827
hurt,827
whoops,824
eve,823
mouse,823
wee,823
ahhah,821
fit,816
next,813
pink,812
taste,810
old,805
shirt,805
clock,803
moon,799
sorry,798
really,795
clap,794
though,792
catch,789
coffee,777
even,771
rock,768
ear,764
dance,764
choo,764
cry,764
yet,762
friend,756
ethan,755
everything,754
you_know,754
hungry,754
guess,753
many,744
actual,740
rabbit,738
seem,732
ask,731
cold,730
their,729
before,728
recognize,727
bag,727
chi,723
long,722
joseph,719
start,717
write,710
hop,710
knock,702
through,701
waffle,695
soft,692
william,688
tire,686
bump,686
while,680
hide,680
change,680
teddy,674
pretend,674
breakfast,672
careful,669
b,668
pot,667
pooh,665
nomi,664
haha,656
mess,656
wet,653
only,651
finish,649
great,648
morning,644
six,636
purple,635
ribbit,634
than,632
favorite,630
cut,629
inside,625
yep,619
elephant,618
wheel,617
camera,616
yourself,610
word,609
leg,608
blow,607
bath,604
almost,603
song,602
shall,599
bus,599
beep,592
elmo,592
yuck,590
round,588
fraser,585
same,582
bug,582
alex,581
out_of,575
drop,573
baa,572
kinda,571
listen,571
lily,570
swing,568
cracker,566
black,566
spot,563
clown,562
lunch,561
cute,560
ow,556
clothes,556
end,556
whee,555
ha,555
eight,549
microphone,548
miss,546
e,545
story,544
circle,543
cereal,542
c,542
sandwich,541
bowl,541
balloon,540
un,539
build,537
white,537
wonder,536
hit,534
dress,530
yogurt,528
nurse,526
ice,526
nine,526
uhuh,525
fly,523
ma,523
letter,522
nope,522
raisin,521
kangaroo,517
part,515
puzzle,513
high,512
morgan,510
seven,506
lamb,506
lion,505
towel,504
slide,502
carrot,501
never,500
star,500
dry,499
farm,497
zebra,495
after,494
music,494
woo,493
butter,493
care,493
wipe,490
later,490
bad,486
climb,485
toast,485
swim,483
may,483
lady,481
kitchen,480
side,480
somebody,480
enough,480
brown,479
joanna,478
cream,477
ahead,476
whole,476
rain,472
second,470
chick,470
hammer,466
o,466
mister,465
matter,464
blanket,464
drive,462
buzz,460
yours,459
sweet,455
small,453
thomas,452
sun,452
pocket,451
la,450
belly,448
brooklyn,444
mother,442
grape,442
most,442
cake,441
always,441
arm,440
usual,438
nap,437
both,434
vroom,433
sometimes,432
