mcdi,base,alt,grammar,download_date,mcdi_id,category,avg_production,incl_reason,excl_reason
airplane,airplane,air+plane,"singular_noun, syntax-corrected",9/13/24,56,vehicles,0.72,,
airplane,airplane,air+plane's,possessive,9/13/24,56,vehicles,0.72,,
airplane,airplane,air+planes,"dumb_plural, plural_noun",9/13/24,56,vehicles,0.72,,
airplane,airplane,air+planes',"dumb_plural_possessive, plural_possessive",9/13/24,56,vehicles,0.72,,
airplane,airplane,airplane,singular_noun,9/13/24,56,vehicles,0.72,,
airplane,airplane,airplane's,possessive,9/13/24,56,vehicles,0.72,,
airplane,airplane,airplanes,"dumb_plural, plural_noun",9/13/24,56,vehicles,0.72,,
airplane,airplane,airplanes',"dumb_plural_possessive, plural_possessive",9/13/24,56,vehicles,0.72,,
alligator,alligator,alligator,singular_noun,9/13/24,13,animals,0.39,,
alligator,alligator,alligator's,possessive,9/13/24,13,animals,0.39,,
alligator,alligator,alligators,"dumb_plural, plural_noun",9/13/24,13,animals,0.39,,
alligator,alligator,alligators',"dumb_plural_possessive, plural_possessive",9/13/24,13,animals,0.39,,
animal,animal,animal,singular_noun,9/13/24,14,animals,0.49,,
animal,animal,animal's,possessive,9/13/24,14,animals,0.49,,
animal,animal,animals,"dumb_plural, plural_noun",9/13/24,14,animals,0.49,,
animal,animal,animals',"dumb_plural_possessive, plural_possessive",9/13/24,14,animals,0.49,,
ankle,ankle,ankle,singular_noun,9/13/24,184,body_parts,0.16,,
ankle,ankle,ankle's,possessive,9/13/24,184,body_parts,0.16,,
ankle,ankle,ankles,"dumb_plural, plural_noun",9/13/24,184,body_parts,0.16,,
ankle,ankle,ankles',"dumb_plural_possessive, plural_possessive",9/13/24,184,body_parts,0.16,,
ant,ant,ant,singular_noun,9/13/24,15,animals,0.42,,
ant,ant,ant's,possessive,9/13/24,15,animals,0.42,,
ant,ant,ants,"dumb_plural, plural_noun",9/13/24,15,animals,0.42,,
ant,ant,ants',"dumb_plural_possessive, plural_possessive",9/13/24,15,animals,0.42,,
apple,apple,apple,singular_noun,9/13/24,88,food_drink,0.84,,
apple,apple,apple's,possessive,9/13/24,88,food_drink,0.84,,
apple,apple,apples,"dumb_plural, plural_noun",9/13/24,88,food_drink,0.84,,
apple,apple,apples',"dumb_plural_possessive, plural_possessive",9/13/24,88,food_drink,0.84,,
applesauce,applesauce,apple sauce,"singular_noun, syntax-corrected",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple sauce's,possessive,9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple sauces,"dumb_plural, plural_noun",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple sauces',"dumb_plural_possessive, plural_possessive",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple+sauce,"singular_noun, syntax-corrected",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple+sauce's,possessive,9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple+sauces,"dumb_plural, plural_noun",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,apple+sauces',"dumb_plural_possessive, plural_possessive",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,applesauce,singular_noun,9/13/24,89,food_drink,0.43,,
applesauce,applesauce,applesauce's,possessive,9/13/24,89,food_drink,0.43,,
applesauce,applesauce,applesauces,"dumb_plural, plural_noun",9/13/24,89,food_drink,0.43,,
applesauce,applesauce,applesauces',"dumb_plural_possessive, plural_possessive",9/13/24,89,food_drink,0.43,,
arm,arm,arm,singular_noun,9/13/24,185,body_parts,0.67,,
