mcdi,base,alt,grammar,initials,source,notes
bird,bird,birdie,"singular_noun, diminutive",SE,SE,
bird,bird,birdy,"singular_noun, diminutive",SE,SE,
fish (animal),fish,fishy,"singular_noun, diminutive",SE,SE,
fish (animal),fish,fishie,"singular_noun, diminutive",SE,SE,
dog,dog,doggie,"singular_noun, diminutive",SE,SE,
dog,dog,doggy,"singular_noun, diminutive",SE,SE,
duck,duck,duckie,"singular_noun, diminutive",SE,SE,
duck,duck,ducky,"singular_noun, diminutive",SE,SE,
horse,horse,horsie,"singular_noun, diminutive",SE,SE,
horse,horse,horsey,"singular_noun, diminutive",SE,SE,
frog,frog,froggie,"singular_noun, diminutive",SE,SE,
frog,frog,froggy,"singular_noun, diminutive",SE,SE,
pajamas,pajamas,jammies,"singular_noun, diminutive",SE,SE,
tv,tv,television,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mama,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mum,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mummy,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mom,"singular_noun, diminutive",SE,SE,
mommy*,mommy,mother,"singular_noun, diminutive",SE,SE,
daddy*,daddy,dada,"singular_noun, diminutive",SE,SE,
daddy*,daddy,baba,"singular_noun, diminutive",SE,SE,
daddy*,daddy,papa,"singular_noun, diminutive",SE,SE,
daddy*,daddy,father,"singular_noun, diminutive",SE,SE,
daddy*,daddy,dad,"singular_noun, diminutive",SE,SE,
grandma*,grandma,grammy,"singular_noun, diminutive",SE,SE,
grandma*,grandma,grandmother,"singular_noun, diminutive",SE,SE,
grandpa*,grandpa,grampy,"singular_noun, diminutive",SE,SE,
grandpa*,grandpa,grandfather,"singular_noun, diminutive",SE,SE,
doll,doll,dolly,"singular_noun, diminutive",SE,SE,
doll,doll,dollie,"singular_noun, diminutive",SE,SE,
pig,pig,piggie,"singular_noun, diminutive",SE,SE,
pig,pig,piggy,"singular_noun, diminutive",SE,SE,
egg,egg,eggy,"singular_noun, diminutive",SE,SE,
egg,egg,eggie,"singular_noun, diminutive",SE,SE,
truck,truck,trucky,"singular_noun, diminutive",SE,SE,
truck,truck,truckie,"singular_noun, diminutive",SE,SE,
airplane,airplane,air+plane,"singular_noun, syntax-corrected",SE,SE,
applesauce,applesauce,apple+sauce,"singular_noun, syntax-corrected",SE,SE,
babysitter,babysitter,baby+sitter,"singular_noun, syntax-corrected",SE,SE,
backyard,backyard,back+yard,"singular_noun, syntax-corrected",SE,SE,
bathroom,bathroom,bath+room,"singular_noun, syntax-corrected",SE,SE,
bathtub,bathtub,bath+tub,"singular_noun, syntax-corrected",SE,SE,
bedroom,bedroom,bed+room,"singular_noun, diminutive",SE,SE,
butterfly,butterfly,butter+fly,"singular_noun, diminutive",SE,SE,
downtown,downtown,down+town,"singular_noun, diminutive",SE,SE,
fireman,fireman,fire+man,"singular_noun, diminutive",SE,SE,
firetruck,firetruck,fire+truck,"singular_noun, diminutive",SE,SE,
fish (food),fish,fishy,"singular_noun, diminutive",SE,SE,
fish (food),fish,fishie,"singular_noun, diminutive",SE,SE,
hamburger,hamburger,ham+burger,"singular_noun, syntax-corrected",SE,SE,
mailman,mailman,mail+man,"singular_noun, syntax-corrected",SE,SE,
motorcycle,motorcycle,motor+cycle,"singular_noun, syntax-corrected",SE,SE,
necklace,necklace,neck+lace,"singular_noun, syntax-corrected",SE,SE,
outside,outside,out+side,"singular_noun, syntax-corrected",SE,SE,
pancake,pancake,pan+cake,"singular_noun, syntax-corrected",SE,SE,
playground,playground,play+ground,"singular_noun, syntax-corrected",SE,SE,
popcorn,popcorn,pop+corn,"singular_noun, syntax-corrected",SE,SE,
sandbox,sandbox,sand+box,"singular_noun, syntax-corrected",SE,SE,
sidewalk,sidewalk,side+walk,"singular_noun, syntax-corrected",SE,SE,
snowman,snowman,snow+man,"singular_noun, syntax-corrected",SE,SE,
snowsuit,snowsuit,snow+suit,"singular_noun, syntax-corrected",SE,SE,
strawberry,strawberry,straw+berry,"singular_noun, syntax-corrected",SE,SE,
teddybear,teddybear,teddy+bear,"singular_noun, syntax-corrected",SE,SE,
teddybear,teddybear,teddy bear,"singular_noun, syntax-corrected",SE,SE,
toothbrush,toothbrush,tooth brush,"singular_noun, syntax-corrected",SE,SE,
toothbrush,toothbrush,tooth+brush,"singular_noun, syntax-corrected",SE,SE,
